taskid,amount_actions
120,73
121,131
122,81
123,76
124,1
125,10
140,980
141,359
142,444
143,730
144,166
145,413
150,154
151,146
152,57
153,329
154,15
155,85
160,103
161,392
162,76
163,61
164,366
165,120
170,318
171,109
172,394
173,151
174,104
175,255
180,313
181,359
182,279
183,420
184,541
185,448
190,440
191,302
192,291
193,113
194,140
195,117
200,222
201,78
202,122
203,173
204,101
205,93
210,644
211,273
212,255
213,557
214,714
215,273
220,101
221,110
222,521
223,22
224,144
225,183
230,196
231,101
232,425
233,223
234,60
235,285
240,337
241,522
242,175
243,269
244,543
245,230
250,185
251,532
252,153
253,191
254,220
255,149
260,682
261,210
262,209
263,634
264,57
265,185
270,480
271,290
272,220
273,399
274,243
275,93
280,121
281,302
282,363
283,290
284,612
285,455
310,45
311,596
312,137
313,291
314,364
315,133
320,1022
321,260
322,452
323,478
324,379
325,295
